x,y,z,intensity,gps_time,label,global_id
746008.93569336,2573792.70474121,464.92263794,16191,5257.0527,9,103010001
746009.01040039,2573793.26293823,464.85372925,16191,5257.851,9,103010001
746009.14278564,2573793.44302246,464.94812012,16191,5259.466,9,103010001
746008.90990601,2573792.86022827,464.99954224,15420,5260.1636,9,103010001
746008.94619141,2573793.10284302,465.10281372,15420,5260.164,9,103010001
746009.37890015,2573793.03393433,463.68621826,15420,5260.4517,9,103010001
746009.44179687,2573793.2467334,463.71853638,8224,5261.355,9,103010001
746008.87990723,2573792.62753174,465.0819397,10537,5261.456,9,103010001
746009.00350342,2573793.19491455,464.97232056,16191,5262.754,9,103010001
746009.39110718,2573793.05053589,463.81912231,8224,5262.9663,9,103010001
746008.93828735,2573792.96563599,464.92062378,8224,5263.8574,9,103010001
746008.91298828,2573792.78262207,465.01263428,15163,5267.3696,9,103010001
746009.42580566,2573793.29641602,464.32531738,10023,5269.0547,9,103010001
746009.04088745,2573793.18243286,464.98812866,10794,5269.5547,9,103010001
746009.01308594,2573793.22912476,465.02093506,16191,5270.262,9,103010001
746009.43029175,2573793.26702759,464.10742188,16191,5270.5596,9,103010001
746009.36379395,2573792.92153809,464.00231934,7453,5271.261,9,103010001
746008.94890747,2573792.73602173,464.85131836,7453,5271.365,9,103010001
746002.09429321,2573795.09252808,466.79992676,13621,5297.734,9,103010001
746002.1144043,2573795.35082886,466.88183594,13621,5297.734,9,103010001
746002.15490112,2573795.61883423,466.97113037,13621,5297.734,9,103010001
746002.20009766,2573795.63052246,463.44433594,11308,5297.8335,9,103010001
746002.13381348,2573795.33804199,466.31332397,13621,5297.8335,9,103010001
746002.19970093,2573795.59731934,466.38623047,13621,5297.8335,9,103010001
746002.06231079,2573795.22283813,463.86541748,16191,5307.724,9,103010001
746002.13619385,2573795.46401855,463.98513794,16191,5307.7246,9,103010001
746002.10311279,2573795.40792725,467.10412598,16191,5307.7246,9,103010001
746002.16240845,2573795.6552417,467.22412109,16191,5307.7246,9,103010001
746009.22249756,2573793.77163574,464.6663208,13107,5307.8267,9,103010001
746002.23088989,2573795.30721924,464.18893433,11051,5307.8267,9,103010001
746009.30880127,2573794.34164307,464.89334106,13107,5307.8267,9,103010001
746002.09389648,2573795.21523926,467.20553589,10280,5307.827,9,103010001
746002.13961182,2573795.47653076,467.3109436,10280,5307.827,9,103010001
746002.17269287,2573795.74001953,467.41482544,10280,5307.827,9,103010001
746009.31539307,2573794.41241333,466.00942993,16191,5310.225,9,103010001
746002.14019165,2573795.0776355,465.496521,13621,5310.323,9,103010001
746002.18779907,2573795.33651611,465.60562134,13621,5310.323,9,103010001
746005.14650879,2573795.57864258,466.73092651,10537,5311.483,9,103010001
746002.07891235,2573795.62551758,466.12011719,9252,5311.483,9,103010001
746002.17049561,2573795.96612427,467.81314087,11051,5311.58,9,103010001
746002.12850342,2573795.71664307,467.67993164,11051,5311.58,9,103010001
746002.14040527,2573795.45791504,467.55352783,11051,5311.58,9,103010001
746002.22701416,2573796.23702881,466.73654175,16191,5311.682,9,103010001
746002.1960083,2573795.98593018,466.62322998,16191,5311.682,9,103010001
746002.15178833,2573795.7500293,466.51382446,16191,5311.682,9,103010001
746002.10738525,2573795.13152954,466.73571777,16191,5312.8276,9,103010001
746002.13289795,2573795.39263794,466.84603882,16191,5312.828,9,103010001
746002.1848999,2573795.64932129,466.95922852,16191,5312.828,9,103010001
746002.1369873,2573795.12072632,465.97473145,11308,5312.9243,9,103010001
746009.4270874,2573794.28134033,465.10153198,16191,5315.435,9,103010001
746002.14879761,2573795.23022339,467.39953613,8995,5315.435,9,103010001
746002.17949829,2573795.4941394,467.49563599,8995,5315.435,9,103010001
746009.32109985,2573794.32794067,465.57733154,11565,5317.925,9,103010001
746002.16900024,2573795.86013672,467.3241272,16191,5319.281,9,103010001
746002.14699707,2573795.60781738,467.20132446,16191,5319.281,9,103010001
746002.09490356,2573795.34792969,467.06991577,16191,5319.281,9,103010001
746002.16549072,2573795.75921509,464.14413452,16191,5319.281,9,103010001
746002.14650879,2573795.50863525,464.02142334,16191,5319.2812,9,103010001
746002.14251099,2573795.91934082,467.54092407,16191,5319.3804,9,103010001
746002.09880981,2573795.6842334,467.38531494,16191,5319.3804,9,103010001
746002.07000122,2573795.44671509,467.23123169,16191,5319.3804,9,103010001
746002.15758667,2573795.76211426,464.10171509,16191,5319.381,9,103010001
746002.15029297,2573795.52102539,463.94943237,16191,5319.381,9,103010001
746002.19631348,2573795.76421997,467.23052979,16191,5319.477,9,103010001
746002.13399658,2573795.55401489,467.05032349,16191,5319.477,9,103010001
746002.07869873,2573795.34283325,466.87112427,16191,5319.477,9,103010001
746002.06160889,2573795.12493774,466.6958313,16191,5319.477,9,103010001
746002.03969727,2573795.22332642,467.76544189,15934,5320.35,9,103010001
746002.08568726,2573795.47143433,467.66442871,25700,5320.35,9,103010001
746002.14760742,2573795.70413086,467.57043457,25700,5320.35,9,103010001
746009.19341431,2573793.88262817,465.82171631,16191,5320.4575,9,103010001
746002.13549194,2573795.37142822,465.23751831,15934,5320.4575,9,103010001
746009.30111084,2573794.4453418,465.80453491,771,5320.4575,9,103010001
746009.35579834,2573794.73403809,465.79544067,771,5320.4575,9,103010001
746002.1151062,2573795.43331787,465.76281738,15677,5320.554,9,103010001
746009.27330933,2573794.48211548,466.43563843,16191,5320.554,9,103010001
746009.28011475,2573794.77221558,466.48532104,16191,5320.554,9,103010001
746009.00560913,2573792.92141602,464.73413086,16191,5320.6494,9,103010001
746009.00301514,2573793.18923828,464.86282349,16191,5320.65,9,103010001
746009.29421387,2573794.46221802,465.51931763,771,5320.65,9,103010001
746009.34499512,2573794.7212207,465.65112305,771,5320.65,9,103010001
746009.08901367,2573793.48843262,465.00393677,16191,5320.7515,9,103010001
746002.04338989,2573795.34033081,465.04342651,15934,5320.7515,9,103010001
746009.24300537,2573794.33523438,465.80871582,16191,5320.752,9,103010001
746009.25640259,2573794.5514209,466.00772095,16191,5320.752,9,103010001
746009.01061401,2573793.22372314,464.83093262,16191,5320.8535,9,103010001
746002.08699951,2573795.2757251,465.41503906,15934,5320.854,9,103010001
746002.08010254,2573795.43911621,465.62982178,15934,5320.854,9,103010001
746009.25188599,2573794.41021606,466.48474121,16191,5320.854,9,103010001
746003.25350342,2573795.73654053,466.38601685,16191,5320.854,9,103010001
746008.96401367,2573792.83212158,465.02001953,16191,5321.0513,9,103010001
746002.1881958,2573795.58962891,463.10302734,16191,5321.153,9,103010001
746002.12590942,2573795.60482666,463.39071655,16191,5321.153,9,103010001
746002.1065918,2573795.61282227,463.66711426,16191,5321.153,9,103010001
746002.20070801,2573795.60232422,463.95071411,16191,5321.153,9,103010001
746002.18450317,2573795.60973999,464.21383667,16191,5321.153,9,103010001
746009.30071411,2573794.45431397,465.61273193,16191,5321.1533,9,103010001
746009.27700195,2573794.46353027,465.89971924,16191,5321.1533,9,103010001
746009.27660522,2573794.46893188,466.2038269,16191,5321.1533,9,103010001
746009.27520142,2573794.47463867,466.50802612,16191,5321.1533,9,103010001
746002.08629761,2573795.67004272,466.69824219,16191,5321.1533,9,103010001
746002.1302124,2573795.66772339,466.98193359,16191,5321.1533,9,103010001
